"~id","~start_node_id","~end_node_id","~relationship_type","name"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152948992397541376","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:4","research_question","analyzed_dataset"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917556515431776301","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:45","research_question","analyzed_dataset"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152955589467308033","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:10","combined_with","combined_with"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152942395327774722","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:2","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:3","Machine_Learning_Techniques","equals"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152947892885913605","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:5","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:8","methodology","trained_on"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146950","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:7","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152947892885913609","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:9","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:11","methodology","uses"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146956","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:12","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152931400211496974","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","leads_to","leads_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152932499723124750","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","results_in","results_in"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146959","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:15","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146963","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:19","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152934698746380308","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:20","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","contributes_to","contributes_to"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152941295816146965","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:21","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","has_type","is_a"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1152937997281263638","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","produces","produces"
"5:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6917577406152704088","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:88","triggered_by","stock_movement"
